"filename", "language", "JavaScript", "vue", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"d:\destok\QingShanpump-main\src\App.vue", "vue", 0, 7, 0, 0, 0, 0, 5, 12
"d:\destok\QingShanpump-main\src\api\answer.js", "JavaScript", 10, 0, 0, 0, 0, 3, 1, 14
"d:\destok\QingShanpump-main\src\api\app.js", "JavaScript", 28, 0, 0, 0, 0, 5, 5, 38
"d:\destok\QingShanpump-main\src\api\auth.js", "JavaScript", 21, 0, 0, 0, 0, 1, 4, 26
"d:\destok\QingShanpump-main\src\api\chat.js", "JavaScript", 20, 0, 0, 0, 0, 0, 2, 22
"d:\destok\QingShanpump-main\src\api\favour.js", "JavaScript", 10, 0, 0, 0, 0, 1, 4, 15
"d:\destok\QingShanpump-main\src\api\message.js", "JavaScript", 39, 0, 0, 0, 0, 0, 5, 44
"d:\destok\QingShanpump-main\src\api\post.js", "JavaScript", 16, 0, 0, 0, 0, 5, 1, 22
"d:\destok\QingShanpump-main\src\api\postController.js", "JavaScript", 28, 0, 0, 0, 0, 0, 10, 38
"d:\destok\QingShanpump-main\src\api\question.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 20
"d:\destok\QingShanpump-main\src\api\scoring.js", "JavaScript", 17, 0, 0, 0, 0, 0, 2, 19
"d:\destok\QingShanpump-main\src\api\thumb.js", "JavaScript", 4, 0, 0, 0, 0, 1, 1, 6
"d:\destok\QingShanpump-main\src\api\user.js", "JavaScript", 43, 0, 0, 0, 0, 13, 5, 61
"d:\destok\QingShanpump-main\src\assets\base.css", "CSS", 0, 0, 0, 74, 0, 2, 15, 91
"d:\destok\QingShanpump-main\src\assets\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 1, 2
"d:\destok\QingShanpump-main\src\assets\main.css", "CSS", 0, 0, 0, 34, 0, 2, 5, 41
"d:\destok\QingShanpump-main\src\components\editor\MdEditor.vue", "vue", 0, 34, 0, 0, 0, 1, 5, 40
"d:\destok\QingShanpump-main\src\components\editor\PreviewOnly.vue", "vue", 0, 19, 0, 0, 0, 1, 4, 24
"d:\destok\QingShanpump-main\src\components\notice\PublicNotice.vue", "vue", 0, 108, 0, 0, 0, 1, 18, 127
"d:\destok\QingShanpump-main\src\components\share\QRCodeShare.vue", "vue", 0, 86, 0, 0, 0, 0, 11, 97
"d:\destok\QingShanpump-main\src\components\user\UserExcel.vue", "vue", 0, 247, 0, 0, 0, 3, 26, 276
"d:\destok\QingShanpump-main\src\hooks\usePagination.ts", "TypeScript", 0, 0, 31, 0, 0, 8, 8, 47
"d:\destok\QingShanpump-main\src\layout\HomeView.vue", "vue", 0, 14, 0, 0, 0, 2, 3, 19
"d:\destok\QingShanpump-main\src\layout\MainContent.vue", "vue", 0, 23, 0, 0, 0, 2, 3, 28
"d:\destok\QingShanpump-main\src\main.js", "JavaScript", 19, 0, 0, 0, 0, 0, 2, 21
"d:\destok\QingShanpump-main\src\router\index.js", "JavaScript", 210, 0, 0, 0, 0, 4, 10, 224
"d:\destok\QingShanpump-main\src\store\auth.js", "JavaScript", 44, 0, 0, 0, 0, 2, 7, 53
"d:\destok\QingShanpump-main\src\store\message.js", "JavaScript", 16, 0, 0, 0, 0, 2, 2, 20
"d:\destok\QingShanpump-main\src\store\qusetion.js", "JavaScript", 11, 0, 0, 0, 0, 1, 3, 15
"d:\destok\QingShanpump-main\src\utils\api.js", "JavaScript", 59, 0, 0, 0, 0, 12, 6, 77
"d:\destok\QingShanpump-main\src\utils\request.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"d:\destok\QingShanpump-main\src\views\AdminManage\ApplicationManagement.vue", "vue", 0, 492, 0, 0, 0, 6, 50, 548
"d:\destok\QingShanpump-main\src\views\AdminManage\ApplicationReview.vue", "vue", 0, 273, 0, 0, 0, 1, 29, 303
"d:\destok\QingShanpump-main\src\views\AdminManage\CharManage.vue", "vue", 0, 345, 0, 0, 0, 5, 45, 395
"d:\destok\QingShanpump-main\src\views\AdminManage\ForumManView.vue", "vue", 0, 261, 0, 0, 0, 0, 32, 293
"d:\destok\QingShanpump-main\src\views\AdminManage\USEMAN.vue", "vue", 0, 439, 0, 0, 0, 8, 41, 488
"d:\destok\QingShanpump-main\src\views\AdminManage\UserManageView.vue", "vue", 0, 127, 0, 0, 0, 1, 16, 144
"d:\destok\QingShanpump-main\src\views\AdminManage\VueDataAnalyticsPanel.vue", "vue", 0, 673, 0, 0, 0, 12, 70, 755
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftBody\LefyBody.vue", "vue", 0, 285, 0, 0, 0, 1, 31, 317
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv0.vue", "vue", 0, 36, 0, 0, 0, 0, 2, 38
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv1.vue", "vue", 0, 53, 0, 0, 0, 8, 9, 70
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv100.vue", "vue", 0, 97, 0, 0, 0, 0, 11, 108
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv2.vue", "vue", 0, 101, 0, 0, 0, 0, 11, 112
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv3.vue", "vue", 0, 83, 0, 0, 0, 0, 12, 95
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv6.vue", "vue", 0, 3, 0, 0, 0, 0, 1, 4
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv7.vue", "vue", 0, 204, 0, 0, 0, 0, 23, 227
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv98.vue", "vue", 0, 389, 0, 0, 0, 6, 39, 434
"d:\destok\QingShanpump-main\src\views\LeftBodyDiv\LeftPage\LeftBDiv99.vue", "vue", 0, 29, 0, 0, 0, 0, 3, 32
"d:\destok\QingShanpump-main\src\views\Manage\AppList.vue", "vue", 0, 84, 0, 0, 0, 0, 3, 87
"d:\destok\QingShanpump-main\src\views\Manage\QuestionManagement.vue", "vue", 0, 781, 0, 0, 0, 9, 49, 839
"d:\destok\QingShanpump-main\src\views\Manage\SoftwareManagement.vue", "vue", 0, 839, 0, 0, 0, 9, 102, 950
"d:\destok\QingShanpump-main\src\views\PhoneVue\PhoneVue.vue", "vue", 0, 94, 0, 0, 0, 1, 16, 111
"d:\destok\QingShanpump-main\src\views\Post\CreatePost.vue", "vue", 0, 172, 0, 0, 0, 5, 26, 203
"d:\destok\QingShanpump-main\src\views\Post\EditPost.vue", "vue", 0, 189, 0, 0, 0, 5, 25, 219
"d:\destok\QingShanpump-main\src\views\Post\PostDetail.vue", "vue", 0, 340, 0, 0, 0, 4, 53, 397
"d:\destok\QingShanpump-main\src\views\Post\PostMain.vue", "vue", 0, 249, 0, 0, 0, 8, 38, 295
"d:\destok\QingShanpump-main\src\views\RightBody\Answer.vue", "vue", 0, 354, 0, 0, 0, 6, 37, 397
"d:\destok\QingShanpump-main\src\views\RightBody\AnswerIns.vue", "vue", 0, 426, 0, 0, 0, 0, 70, 496
"d:\destok\QingShanpump-main\src\views\RightBody\CommunityView.vue", "vue", 0, 361, 0, 0, 0, 0, 54, 415
"d:\destok\QingShanpump-main\src\views\RightBody\DShop.vue", "vue", 0, 332, 0, 0, 0, 1, 23, 356
"d:\destok\QingShanpump-main\src\views\RightBody\FriendVue.vue", "vue", 0, 331, 0, 0, 0, 3, 37, 371
"d:\destok\QingShanpump-main\src\views\RightBody\LastGuide.vue", "vue", 0, 90, 0, 0, 0, 0, 20, 110
"d:\destok\QingShanpump-main\src\views\RightBody\LastLeftViewone.vue", "vue", 0, 103, 0, 0, 0, 1, 15, 119
"d:\destok\QingShanpump-main\src\views\RightBody\LastRightViewone.vue", "vue", 0, 128, 0, 0, 0, 0, 7, 135
"d:\destok\QingShanpump-main\src\views\RightBody\SearchFriend.vue", "vue", 0, 299, 0, 0, 0, 1, 51, 351
"d:\destok\QingShanpump-main\src\views\RightBody\TopCenter.vue", "vue", 0, 65, 0, 0, 0, 0, 16, 81
"d:\destok\QingShanpump-main\src\views\RightBody\officialDshop.vue", "vue", 0, 182, 0, 0, 0, 1, 24, 207
"d:\destok\QingShanpump-main\src\views\Scoring\ScoringContent.vue", "vue", 0, 204, 0, 0, 0, 7, 24, 235
"d:\destok\QingShanpump-main\src\views\UserBody\userContent\UserView.vue", "vue", 0, 604, 0, 0, 0, 11, 65, 680
"d:\destok\QingShanpump-main\src\views\UserBody\userLogin\LoginView.vue", "vue", 0, 249, 0, 0, 0, 1, 36, 286
"d:\destok\QingShanpump-main\src\views\UserBody\userRegister\RegisterView.vue", "vue", 0, 201, 0, 0, 0, 0, 23, 224
"d:\destok\QingShanpump-main\src\views\bookmark\AIGirlfriend.vue", "vue", 0, 429, 0, 0, 0, 1, 61, 491
"d:\destok\QingShanpump-main\src\views\bookmark\OpenPageManager.vue", "vue", 0, 246, 0, 0, 0, 0, 28, 274
"d:\destok\QingShanpump-main\src\views\errors\403Vue.vue", "vue", 0, 138, 0, 0, 0, 0, 19, 157
"d:\destok\QingShanpump-main\src\views\errors\404Vue.vue", "vue", 0, 101, 0, 0, 0, 0, 18, 119
"Total", "-", 622, 12019, 31, 108, 1, 194, 1543, 14518